,id,name,category,CEO,place,url,phoneNumber
0,1,DXアンテナ(株),"['家電・ＡＶ機器', 'コンピュータ・通信機器', '総合電機', '半導体・電子・電気機器', 'その他電気・電子関連']",,兵庫県神戸市西区室谷1丁目2番2号,https://www.dxantenna.co.jp/,078-996-3302
0,2,(株)フェイスグループ【旧社名：(株)フェイス】,"['商社（通信）', '商社（複合）', '専門店（家電・OA機器）', '商社（電子・電気機器）', '通信・インフラ']",,兵庫県神戸市中央区磯辺通4丁目2番26号　新芙蓉ビル4F,http://www.faith-jpn.co.jp/,078-200-3703
0,3,日産販売会社グループ【近畿ブロック】,"['商社（自動車関連・輸送用機器）', '専門店（自動車関連）']",,京都府京都市南区西九条高畠町45,,各社により異なります
0,4,兵庫トヨタ自動車(株),"['商社（自動車関連・輸送用機器）', '専門店（自動車関連）', 'リース・レンタル']",,神戸市中央区磯辺通4丁目2番12号,http://www.hyogotoyota.co.jp/,078-252-2801
0,5,マックスバリュ西日本(株),"['スーパーマーケット', '専門店（食品・日用品）']",,広島段原ショッピングセンター5階,https://job-gear.jp/maxvalu/new/index.htm,082-535-8500
0,6,社会福祉法人神港園,['福祉サービス'],,神戸市北区しあわせの村1－10,https://www.shinkouen.or.jp/recruit/,078‐743-8293
0,7,長谷川電機工業(株),['半導体・電子・電気機器'],,兵庫県尼崎市潮江5-8-17,　http://www.hasegawa-elec.co.jp,06-6429-6144
0,8,(株)チンクエクラシコ【CINQUE CLASSICO・CINQUE un ALTRO・Cinq essentiel】,['専門店（アパレル・ファッション関連）'],,神戸市中央区磯辺通4丁目1番38号ザ・シティ神戸三宮ビル1F,http://www.cinqueclassico.co.jp/,078-221-2677
0,9,大日グループ【大日電子(株)/大日通信工業(株)/ウイングエンジニア(株)】,"['半導体・電子・電気機器', '設備工事', '機械設計']",,兵庫県尼崎市金楽寺町1-2-65,http://www.dainichidenshi.co.jp/recruit/,06-6489-2421
0,10,川西航空機器工業(株),"['輸送用機器', '精密機器', '非鉄金属']",,兵庫県川西市下加茂2丁目1番6号,http://www.kapp.co.jp/,072-759-4145
0,11,神戸医師協同組合,"['財団・社団・その他団体', '商社（薬品・化粧品）', '商社（食品・農林・水産）', '損害保険']",,神戸市中央区神若通3丁目2番15号,https://www.kobe-ishikyo.or.jp/,078-241-8995
